Ref FC;ID soil;Argile;Limon;Sable;C Org;CaCO3;Somme;
NF1;1;181;451;149;51;211;781;
FV1;2;146;509;280;37,2;;935;
NF3;3;170;280;249;36,9;292;699;
NF4;4;160;206;141;26,3;480;507;
NF1;5;149;349;134;25,4;359;632;
BN1;6;512;437;60;19,6;4;1009;Normalement ce sont les mêmes pardi !
BN2;7;425;515;60;19,3;0;1000;
BN6;8;99;110;8;17,2;783;217;
BN4;9;130;129;19;16,1;717;278;
BN5;10;99;200;50;15,3;650;349;
BN3;11;394;458;148;12,8;17;1000;
SR1;12;199;720;78;10,5;3;997;
BN6;13;160;780;50;9,1;10;990;
MS1;14;168;763;38;8,7;;969;
BN11;15;185;753;62;8,31;3,1;1000;
FV2;16;170;350;480;20,9;;1000;
